studio,primary_genre,genre_count,source_material,demographic,episodes,episode_length_min,animation_budget_tier,marketing_spend_tier,voice_cast_popularity,director_experience_years,studio_prior_hits,release_season,release_year,has_sequel_potential_arc,mal_rating,popularity_score,success_tier
Silver Link,Adventure,1,Light Novel,Shounen,12,24,Medium,Low,3.9,10.0,5,Spring,2018,1,4.33,22.3,Flop
J.C.Staff,Supernatural,1,Original,Shounen,50,24,Low,Medium,6.82,10.4,4,Winter,2016,0,6.97,76.8,Hit
Doga Kobo,Drama,3,Original,Seinen,24,24,Low,Low,3.69,3.8,3,Summer,2021,1,3.37,39.8,Flop
Doga Kobo,Supernatural,1,Game,Shounen,13,24,Medium,Medium,5.77,3.3,5,Fall,2016,0,5.17,43.6,Flop
WIT Studio,Comedy,1,Light Novel,Shounen,24,24,Low,High,6.68,5.2,14,Spring,2017,1,8.53,68.8,Hit
J.C.Staff,Mystery,2,Visual Novel,Seinen,13,12,Medium,Low,6.46,7.7,7,Summer,2022,1,6.01,45.5,Flop
Zero-G,Isekai,3,Manga,Josei,26,24,Medium,Medium,5.37,14.5,9,Spring,2017,0,4.73,26.5,Flop
Zero-G,Adventure,2,Web Novel,Seinen,12,24,Low,Medium,3.62,8.2,5,Spring,2015,0,2.62,19.2,Flop
Trigger,Mystery,1,Light Novel,Shounen,12,24,Medium,Low,5.17,4.9,9,Winter,2022,0,6.71,73.0,Average
Pierrot,Fantasy,3,Original,Seinen,24,24,Low,Medium,5.74,2.8,4,Winter,2022,1,5.68,34.7,Flop
Kyoto Animation,Mystery,2,Game,Seinen,13,24,High,Low,10.0,8.2,7,Fall,2023,1,10.0,94.1,Hit
Trigger,Adventure,1,Manga,Seinen,12,24,High,Low,4.37,5.6,6,Fall,2023,1,9.41,100.0,Hit
Kyoto Animation,Romance,1,Light Novel,Shounen,12,12,High,Low,5.94,2.5,9,Summer,2021,0,9.48,98.6,Hit
Bones,Adventure,1,Manga,Seinen,25,24,Medium,Medium,3.58,0.0,11,Spring,2022,1,10.0,92.3,Hit
Diomedea,Horror,3,Game,Shounen,24,24,Medium,Low,4.98,9.5,4,Fall,2021,0,4.87,52.3,Flop
Diomedea,Action,1,Web Novel,Shounen,12,24,Low,Medium,2.24,8.6,10,Fall,2021,0,4.76,53.2,Flop
Zero-G,Romance,3,Web Novel,Shounen,50,24,High,Medium,2.85,3.8,0,Spring,2017,0,5.6,34.1,Flop
J.C.Staff,Mecha,1,Manga,Josei,12,24,Medium,Low,2.89,10.6,7,Spring,2017,0,5.06,49.6,Flop
A-1 Pictures,Drama,1,Visual Novel,Seinen,12,24,Low,Low,7.22,4.6,6,Spring,2021,1,8.3,70.2,Hit
Diomedea,Mecha,2,Original,Shounen,26,12,High,Medium,2.53,13.4,5,Winter,2019,0,6.92,67.5,Average
Studio Deen,Comedy,3,Manga,Seinen,50,24,Medium,Low,3.82,8.6,7,Fall,2015,1,6.02,54.0,Average
Silver Link,Sci-Fi,1,Manga,Shounen,12,24,Medium,Medium,4.0,4.7,5,Spring,2020,0,4.16,21.3,Flop
Sunrise,Mystery,3,Light Novel,Josei,12,24,Medium,Low,2.92,3.8,6,Winter,2022,1,6.62,68.4,Average
Pierrot,Adventure,1,Light Novel,Shoujo,50,24,High,Medium,2.07,6.4,8,Fall,2022,1,7.28,52.5,Average
Zero-G,Drama,1,Manga,Shounen,13,24,High,High,3.93,11.4,3,Winter,2024,0,8.51,79.0,Hit
Lerche,Adventure,2,Game,Shounen,12,24,High,Medium,4.51,0.6,7,Winter,2016,0,6.74,29.4,Flop
A-1 Pictures,Fantasy,1,Manga,Shounen,24,24,High,Medium,4.38,5.6,8,Spring,2016,1,6.81,94.0,Hit
A-1 Pictures,Psychological,2,Visual Novel,Shoujo,12,24,Medium,Low,5.59,12.0,7,Spring,2016,1,9.24,75.9,Hit
Studio Deen,Sports,1,Web Novel,Seinen,13,24,High,Low,1.0,1.9,3,Spring,2022,0,3.9,58.2,Flop
Sunrise,Slice of Life,2,Manga,Shounen,12,24,Low,High,5.29,13.9,9,Spring,2017,0,9.43,94.9,Hit
Zero-G,Fantasy,2,Manga,Shounen,12,24,High,Low,1.06,3.5,5,Winter,2024,0,6.51,51.7,Average
Sunrise,Adventure,2,Web Novel,Shounen,24,24,Medium,Medium,2.41,6.5,9,Spring,2022,0,6.22,56.0,Average
Zero-G,Fantasy,2,Web Novel,Shounen,24,24,Medium,High,1.0,10.9,5,Spring,2020,0,7.4,75.3,Hit
Production I.G,Isekai,1,Visual Novel,Shounen,12,24,Low,High,7.96,10.2,9,Summer,2015,1,10.0,100.0,Hit
Lerche,Sci-Fi,2,Light Novel,Shounen,26,24,Low,High,3.47,6.3,7,Spring,2019,0,5.21,66.9,Average
MAPPA,Isekai,3,Visual Novel,Seinen,12,24,Low,High,6.79,4.1,8,Fall,2020,0,8.94,81.6,Hit
Studio Deen,Isekai,3,Manga,Seinen,24,24,Low,Low,3.61,5.6,4,Summer,2021,0,3.43,46.4,Flop
Sunrise,Sci-Fi,1,Light Novel,Shounen,24,24,High,Medium,3.35,10.4,7,Fall,2018,0,7.02,72.5,Average
Kyoto Animation,Romance,1,Manga,Shounen,26,24,Low,Medium,6.84,9.7,8,Winter,2019,1,8.27,81.9,Hit
Trigger,Drama,1,Manga,Shoujo,12,24,Medium,Low,5.19,8.9,4,Spring,2017,0,4.74,61.2,Flop
Sunrise,Horror,3,Light Novel,Seinen,50,24,Medium,Medium,3.93,12.1,9,Winter,2019,0,8.84,75.1,Hit
Silver Link,Drama,2,Light Novel,Shounen,26,24,Low,High,2.35,2.4,2,Spring,2024,1,6.72,60.1,Average
Trigger,Horror,3,Manga,Seinen,13,24,Medium,High,5.38,6.6,8,Spring,2018,0,9.7,90.5,Hit
Silver Link,Mecha,3,Light Novel,Seinen,50,24,Medium,Medium,6.81,12.5,7,Winter,2020,0,7.14,72.9,Hit
Madhouse,Sci-Fi,1,Game,Shounen,26,24,Medium,Medium,4.4,9.4,6,Winter,2019,1,7.53,69.7,Hit
Production I.G,Mystery,1,Light Novel,Shounen,12,12,High,Low,3.2,9.3,6,Spring,2020,1,6.88,79.7,Hit
Sunrise,Psychological,2,Light Novel,Josei,13,24,Low,Low,4.38,12.9,3,Winter,2016,1,7.08,83.7,Hit
Trigger,Sports,1,Light Novel,Shounen,25,24,Medium,Medium,4.41,6.4,12,Spring,2018,1,8.74,100.0,Hit
Madhouse,Adventure,1,Visual Novel,Shounen,24,24,Medium,High,6.87,12.0,9,Winter,2015,0,10.0,100.0,Hit
MAPPA,Sci-Fi,3,Manga,Seinen,13,12,Low,Medium,5.26,12.6,6,Summer,2015,1,10.0,99.4,Hit
Bones,Action,2,Visual Novel,Seinen,24,24,Low,Medium,4.79,8.0,8,Fall,2017,0,10.0,96.8,Hit
Pierrot,Sci-Fi,3,Visual Novel,Seinen,12,12,Medium,High,4.02,8.5,3,Summer,2021,1,7.87,92.0,Hit
Diomedea,Mystery,2,Light Novel,Seinen,12,24,Low,High,1.91,11.4,2,Spring,2018,0,3.63,35.4,Flop
Toei Animation,Isekai,3,Manga,Seinen,12,24,High,High,4.19,3.8,6,Fall,2023,1,8.48,78.0,Hit
Zero-G,Action,1,Web Novel,Shounen,50,24,Medium,High,1.0,12.6,6,Spring,2020,1,5.53,42.7,Flop
Toei Animation,Mystery,3,Manga,Seinen,12,24,Low,High,7.15,6.8,5,Fall,2024,0,5.54,57.0,Average
WIT Studio,Horror,3,Visual Novel,Seinen,24,24,Medium,High,7.1,7.7,4,Winter,2019,1,10.0,65.7,Hit
ufotable,Drama,2,Visual Novel,Seinen,24,24,High,Low,5.98,9.9,9,Winter,2015,1,8.97,100.0,Hit
Madhouse,Supernatural,2,Web Novel,Josei,26,24,Medium,Medium,7.87,11.9,7,Fall,2020,1,9.97,85.6,Hit
Sunrise,Isekai,2,Light Novel,Josei,26,24,Medium,Medium,4.48,7.1,10,Fall,2016,1,6.2,67.1,Average
WIT Studio,Fantasy,3,Original,Shounen,24,24,Medium,Low,4.88,10.3,7,Winter,2017,0,9.87,90.9,Hit
Doga Kobo,Drama,1,Original,Shoujo,12,24,Low,Low,2.65,4.6,5,Fall,2015,0,3.87,31.4,Flop
Sunrise,Mystery,3,Visual Novel,Josei,25,24,Medium,Low,3.16,10.4,5,Summer,2015,1,4.68,66.2,Flop
A-1 Pictures,Mecha,2,Web Novel,Shounen,13,12,Medium,Low,1.89,0.0,9,Winter,2024,1,5.9,70.8,Average
Production I.G,Mystery,2,Light Novel,Shounen,50,12,Low,High,5.14,10.7,8,Fall,2024,0,6.94,57.9,Average
Lerche,Psychological,3,Original,Shounen,12,24,Medium,Low,4.45,8.8,5,Fall,2023,0,5.64,57.0,Average
Trigger,Slice of Life,1,Light Novel,Josei,12,24,Medium,Low,4.3,7.6,9,Summer,2016,0,7.13,89.3,Hit
Studio Deen,Sports,3,Original,Shoujo,24,24,Low,High,4.04,8.0,9,Fall,2016,0,8.76,80.9,Hit
ufotable,Drama,1,Manga,Seinen,24,24,Medium,Low,6.13,5.8,12,Winter,2022,0,8.71,100.0,Hit
Toei Animation,Mystery,3,Light Novel,Shounen,26,12,Low,High,4.5,8.3,5,Winter,2018,0,6.92,72.8,Average
Trigger,Drama,2,Web Novel,Shoujo,12,24,Medium,Low,5.22,4.2,7,Spring,2019,0,5.13,71.5,Average
Lerche,Isekai,3,Light Novel,Seinen,50,24,Medium,High,5.53,2.3,6,Spring,2024,0,6.7,74.6,Average
A-1 Pictures,Sci-Fi,2,Manga,Shounen,12,24,High,Low,5.44,7.8,7,Summer,2015,1,7.69,76.4,Hit
Diomedea,Horror,3,Web Novel,Shounen,12,24,Low,Medium,1.32,7.3,3,Spring,2022,0,2.76,1.0,Flop
Kyoto Animation,Isekai,3,Light Novel,Shounen,12,24,High,Medium,8.57,8.6,8,Winter,2016,1,10.0,89.2,Hit
Doga Kobo,Mystery,3,Original,Shoujo,12,12,Low,High,6.74,10.6,6,Winter,2020,0,8.52,97.6,Hit
Sunrise,Mystery,3,Original,Shounen,12,24,Medium,Medium,6.04,7.6,8,Fall,2024,1,9.03,98.5,Hit
A-1 Pictures,Isekai,1,Manga,Shounen,100,12,High,Low,6.08,10.3,7,Fall,2017,1,8.71,91.8,Hit
Madhouse,Psychological,1,Original,Shounen,12,24,Medium,Low,5.69,8.2,9,Fall,2022,0,9.83,85.7,Hit
Kyoto Animation,Psychological,1,Game,Shoujo,50,24,Low,Medium,5.23,6.9,9,Spring,2021,1,5.93,56.9,Average
Pierrot,Comedy,2,Web Novel,Shounen,12,24,High,Medium,5.54,4.2,6,Spring,2022,1,9.08,99.5,Hit
Silver Link,Slice of Life,3,Manga,Shounen,12,24,Medium,Medium,5.11,6.2,8,Summer,2021,1,7.63,82.1,Hit
Bones,Sports,1,Manga,Shounen,13,24,Low,Low,6.15,6.6,9,Spring,2021,1,6.35,80.0,Average
WIT Studio,Romance,2,Original,Shounen,24,12,High,Low,6.95,3.7,4,Summer,2020,0,9.7,98.7,Hit
Pierrot,Isekai,2,Manga,Shounen,100,12,Medium,High,5.1,10.0,11,Spring,2021,0,8.45,76.3,Hit
Silver Link,Mecha,2,Light Novel,Shounen,12,24,Low,High,4.47,4.6,1,Winter,2017,0,3.96,36.7,Flop
Trigger,Mystery,1,Manga,Seinen,12,24,Medium,Medium,5.62,15.3,10,Spring,2017,1,8.97,96.2,Hit
MAPPA,Sci-Fi,1,Light Novel,Shounen,26,24,Low,Medium,7.37,12.1,6,Fall,2016,0,8.73,100.0,Hit
Studio Deen,Psychological,3,Manga,Seinen,12,24,Low,Low,1.9,12.4,4,Winter,2022,0,5.15,24.9,Flop
A-1 Pictures,Isekai,2,Visual Novel,Shounen,13,24,High,Low,4.47,6.5,8,Winter,2021,0,6.11,77.5,Average
CloverWorks,Sports,3,Visual Novel,Seinen,12,24,Low,Low,3.59,4.4,8,Fall,2020,1,8.22,66.5,Hit
Pierrot,Mecha,2,Light Novel,Shoujo,12,24,Low,Low,5.84,10.8,4,Fall,2016,0,4.14,54.9,Flop
Toei Animation,Isekai,3,Original,Shounen,24,24,Low,Low,4.76,8.7,10,Spring,2017,0,7.5,45.5,Average
Silver Link,Horror,2,Manga,Seinen,12,24,Medium,High,7.02,6.2,4,Summer,2023,1,6.85,64.7,Average
J.C.Staff,Slice of Life,2,Original,Shounen,100,12,High,Low,6.49,7.8,7,Winter,2016,0,7.41,72.0,Hit
Production I.G,Drama,1,Original,Shounen,12,24,Medium,Medium,5.55,11.2,8,Spring,2020,1,8.96,96.2,Hit
Diomedea,Supernatural,1,Manga,Shounen,26,24,Low,High,6.25,8.1,2,Spring,2023,0,6.27,73.8,Average
Kyoto Animation,Isekai,3,Light Novel,Shounen,12,24,Medium,Medium,6.92,0.0,4,Winter,2023,0,6.91,78.7,Hit
J.C.Staff,Mystery,1,Visual Novel,Seinen,100,24,High,Medium,3.85,5.6,4,Summer,2017,1,7.77,86.6,Hit
Bones,Comedy,3,Game,Seinen,24,24,Low,Low,6.94,8.1,7,Fall,2016,0,8.14,78.5,Hit
Kyoto Animation,Comedy,2,Light Novel,Seinen,12,24,Medium,Low,6.31,11.8,9,Spring,2023,1,7.52,61.8,Average
Kyoto Animation,Psychological,1,Light Novel,Shounen,12,12,Low,Low,7.76,14.2,11,Winter,2024,0,7.7,80.2,Hit
Kyoto Animation,Drama,2,Manga,Shounen,12,24,Low,Low,6.36,5.6,9,Winter,2024,0,7.15,69.4,Average
MAPPA,Action,3,Visual Novel,Seinen,26,12,Low,Low,6.72,9.3,8,Summer,2015,0,7.37,98.2,Hit
Doga Kobo,Adventure,2,Web Novel,Shoujo,24,24,High,Medium,4.95,10.6,5,Fall,2021,0,8.9,100.0,Hit
WIT Studio,Sports,2,Light Novel,Shounen,12,24,High,Medium,6.53,11.3,9,Winter,2021,0,9.43,94.0,Hit
Madhouse,Psychological,3,Original,Seinen,12,24,Low,Medium,6.51,3.2,9,Summer,2018,0,9.61,74.7,Hit
A-1 Pictures,Mystery,3,Manga,Shounen,24,24,Medium,High,3.58,9.8,8,Winter,2016,1,8.65,64.1,Hit
Bones,Mystery,3,Manga,Josei,24,24,High,High,8.1,11.5,12,Summer,2023,1,9.64,96.4,Hit
Sunrise,Horror,3,Original,Shounen,13,24,Medium,Low,4.75,3.3,6,Fall,2023,0,8.76,65.2,Hit
Lerche,Mystery,2,Manga,Shounen,24,24,High,High,4.22,4.3,2,Spring,2017,0,7.52,81.7,Hit
Madhouse,Mystery,3,Web Novel,Seinen,13,12,Medium,Medium,6.8,5.7,4,Fall,2022,0,7.45,71.1,Hit
J.C.Staff,Mystery,1,Light Novel,Seinen,13,24,High,Medium,4.24,11.4,3,Spring,2022,0,8.79,81.0,Hit
WIT Studio,Horror,3,Light Novel,Seinen,50,24,Medium,Medium,8.88,2.6,7,Winter,2017,0,7.5,67.3,Average
Madhouse,Isekai,2,Original,Shounen,12,12,Medium,Low,6.71,6.6,5,Fall,2022,1,9.87,100.0,Hit
A-1 Pictures,Mecha,2,Manga,Shounen,13,12,Low,Medium,4.81,12.5,12,Summer,2023,0,6.73,46.4,Average
Kyoto Animation,Comedy,2,Light Novel,Shounen,13,24,Medium,Low,6.08,11.6,7,Summer,2017,0,6.01,76.7,Average
A-1 Pictures,Action,2,Manga,Shounen,24,24,Low,Low,7.28,11.8,10,Spring,2024,1,9.1,100.0,Hit
ufotable,Supernatural,2,Original,Shounen,13,24,Low,High,8.02,9.9,11,Fall,2021,0,9.66,100.0,Hit
Zero-G,Comedy,2,Manga,Seinen,12,24,Medium,Medium,3.15,8.1,2,Spring,2019,1,4.78,52.1,Flop
Doga Kobo,Supernatural,1,Light Novel,Shounen,13,24,Medium,High,2.32,10.5,6,Summer,2015,0,7.19,79.2,Hit
WIT Studio,Mecha,3,Web Novel,Shounen,24,24,Medium,Medium,6.65,9.1,4,Winter,2023,0,6.32,53.3,Average
Trigger,Mecha,2,Light Novel,Josei,13,24,Medium,High,10.0,12.0,3,Spring,2022,0,9.34,97.2,Hit
Bones,Mystery,1,Original,Shounen,13,24,Low,Medium,8.14,3.1,7,Winter,2022,0,8.38,68.0,Hit
Madhouse,Comedy,2,Manga,Seinen,12,24,Medium,Low,4.56,3.8,10,Spring,2024,0,6.62,68.1,Average
Kyoto Animation,Slice of Life,1,Game,Seinen,12,24,High,High,7.85,6.7,6,Summer,2021,0,10.0,100.0,Hit
J.C.Staff,Horror,3,Web Novel,Shoujo,13,12,Low,Low,2.23,6.1,11,Winter,2017,0,6.44,65.3,Average
Kyoto Animation,Fantasy,1,Manga,Seinen,26,24,Medium,Low,6.6,2.9,9,Spring,2017,1,8.82,81.0,Hit
Trigger,Mecha,1,Visual Novel,Seinen,26,12,Low,Medium,7.12,6.1,5,Spring,2020,1,6.19,33.8,Flop
Bones,Adventure,1,Light Novel,Shounen,24,24,Medium,Low,6.95,9.2,10,Winter,2018,1,9.5,94.8,Hit
Toei Animation,Supernatural,3,Manga,Shounen,12,24,Low,Medium,4.53,8.2,9,Fall,2024,0,8.07,68.9,Hit
Silver Link,Adventure,3,Light Novel,Seinen,50,24,High,Medium,3.15,9.0,4,Fall,2020,1,6.29,46.1,Average
Kyoto Animation,Romance,2,Light Novel,Seinen,24,24,Low,Medium,5.41,8.0,4,Spring,2016,1,6.85,56.4,Average
CloverWorks,Romance,3,Visual Novel,Shounen,13,24,Medium,Medium,3.95,7.5,5,Summer,2016,1,7.41,82.6,Hit
CloverWorks,Mystery,3,Light Novel,Seinen,12,12,High,Low,5.47,9.9,4,Fall,2022,0,8.14,63.9,Hit
Silver Link,Adventure,2,Original,Shounen,25,24,Low,Low,4.73,2.2,5,Winter,2020,0,5.33,38.9,Flop
Doga Kobo,Supernatural,3,Manga,Shounen,12,24,High,High,6.43,13.6,4,Summer,2021,1,5.68,53.6,Average
J.C.Staff,Fantasy,1,Game,Shoujo,13,24,High,Medium,3.39,12.0,4,Spring,2021,1,7.11,61.6,Average
A-1 Pictures,Slice of Life,3,Manga,Shounen,12,24,High,Medium,4.7,7.0,13,Winter,2017,0,10.0,100.0,Hit
Production I.G,Fantasy,2,Original,Josei,50,24,Low,High,5.08,6.3,11,Fall,2022,0,8.08,88.2,Hit
WIT Studio,Comedy,1,Light Novel,Shounen,24,24,Low,Medium,6.08,1.7,3,Winter,2021,0,7.02,78.3,Hit
Pierrot,Slice of Life,1,Manga,Shounen,12,24,High,Low,3.79,13.4,8,Fall,2019,1,7.21,79.9,Hit
ufotable,Action,3,Light Novel,Shounen,50,24,Medium,Medium,8.43,17.9,6,Summer,2019,1,10.0,92.2,Hit
Trigger,Mecha,1,Visual Novel,Seinen,50,24,Medium,Medium,5.19,8.4,5,Spring,2020,0,7.96,78.4,Hit
Toei Animation,Slice of Life,2,Light Novel,Shounen,12,24,Medium,Low,4.0,6.1,6,Summer,2019,1,5.87,50.1,Average
Lerche,Romance,2,Original,Shounen,50,24,High,High,2.16,8.1,5,Fall,2016,1,7.52,70.5,Hit
Lerche,Mecha,1,Manga,Josei,12,24,Low,High,6.28,19.7,3,Spring,2024,1,7.43,52.1,Average
WIT Studio,Isekai,1,Light Novel,Shounen,24,24,Medium,Medium,6.03,6.5,8,Fall,2017,1,8.98,89.5,Hit
Toei Animation,Isekai,3,Light Novel,Shounen,24,24,Low,Low,2.78,13.1,7,Spring,2017,0,4.54,30.2,Flop
CloverWorks,Slice of Life,3,Light Novel,Josei,12,24,Low,High,5.85,4.7,11,Fall,2023,0,9.17,86.0,Hit
Lerche,Mecha,3,Light Novel,Seinen,24,24,Low,Medium,4.92,6.6,3,Summer,2017,1,4.94,50.1,Flop
Sunrise,Slice of Life,1,Manga,Shoujo,24,24,Medium,Low,4.27,1.3,5,Summer,2023,0,7.96,89.1,Hit
Madhouse,Comedy,1,Light Novel,Seinen,24,24,Medium,Medium,5.41,5.0,5,Summer,2018,0,7.43,75.4,Hit
MAPPA,Sports,1,Original,Seinen,25,24,Low,Medium,6.68,8.1,8,Fall,2022,1,8.29,93.3,Hit
A-1 Pictures,Comedy,3,Manga,Seinen,24,24,Medium,Medium,5.21,4.4,7,Winter,2019,1,8.27,87.5,Hit
Sunrise,Fantasy,2,Light Novel,Josei,13,24,Medium,Medium,5.47,8.0,5,Spring,2016,0,4.99,57.0,Flop
Doga Kobo,Mecha,3,Original,Shounen,13,12,Low,Low,4.05,13.7,8,Fall,2019,0,4.7,61.6,Flop
Trigger,Mecha,2,Original,Shounen,12,24,High,Medium,8.19,0.0,9,Spring,2020,1,10.0,100.0,Hit
A-1 Pictures,Mecha,3,Web Novel,Shoujo,50,24,Medium,High,4.78,6.4,5,Fall,2024,1,9.24,97.3,Hit
Production I.G,Sports,1,Manga,Shounen,12,24,Low,Low,4.9,9.5,4,Spring,2019,0,6.07,71.0,Average
Lerche,Mecha,3,Visual Novel,Seinen,26,12,Medium,Medium,1.21,5.0,8,Summer,2022,1,4.81,53.1,Flop
Bones,Fantasy,2,Manga,Shounen,24,12,Low,Medium,4.4,6.7,7,Summer,2021,0,6.59,95.5,Hit
Kyoto Animation,Sports,2,Manga,Seinen,12,24,High,Medium,6.22,7.0,10,Spring,2021,1,9.4,100.0,Hit
Trigger,Drama,3,Original,Shounen,24,24,Medium,Low,5.1,0.8,7,Summer,2016,0,6.59,53.8,Average
WIT Studio,Psychological,3,Visual Novel,Shounen,25,24,Low,Medium,7.53,13.5,6,Spring,2023,1,8.6,83.8,Hit
J.C.Staff,Isekai,2,Web Novel,Shounen,26,24,Medium,High,6.9,16.5,7,Summer,2019,0,9.08,100.0,Hit
Studio Deen,Horror,1,Manga,Shounen,12,24,Medium,Low,2.4,7.7,3,Winter,2017,0,3.73,6.5,Flop
Pierrot,Adventure,3,Light Novel,Seinen,13,24,High,Medium,3.98,9.2,7,Winter,2018,1,7.8,78.0,Hit
Zero-G,Action,3,Web Novel,Shoujo,26,24,Medium,Low,2.8,3.9,6,Summer,2023,1,3.9,51.5,Flop
ufotable,Supernatural,1,Original,Josei,50,24,Medium,Low,5.52,7.0,6,Summer,2020,0,8.67,76.5,Hit
MAPPA,Romance,1,Original,Josei,24,24,Low,Medium,6.21,9.1,15,Winter,2023,0,9.88,100.0,Hit
Lerche,Psychological,3,Light Novel,Seinen,26,24,High,Medium,2.67,4.9,4,Spring,2021,1,8.37,89.2,Hit
A-1 Pictures,Comedy,3,Web Novel,Seinen,26,12,Low,Medium,4.99,9.7,12,Winter,2017,1,5.31,53.7,Flop
Toei Animation,Psychological,1,Manga,Seinen,12,24,Low,High,2.86,12.3,4,Fall,2021,0,7.36,78.4,Hit
Silver Link,Fantasy,2,Manga,Shounen,12,24,Medium,High,1.19,10.2,6,Winter,2016,1,7.75,75.7,Hit
WIT Studio,Comedy,1,Light Novel,Seinen,24,24,Medium,Low,5.7,7.3,8,Spring,2019,1,7.39,76.7,Hit
A-1 Pictures,Sports,2,Original,Shounen,12,24,High,Low,3.94,12.0,6,Spring,2024,1,10.0,100.0,Hit
Madhouse,Comedy,1,Manga,Seinen,24,12,High,Low,4.19,3.8,11,Winter,2020,1,9.03,100.0,Hit
MAPPA,Adventure,3,Light Novel,Shounen,12,24,High,High,7.09,6.0,6,Fall,2016,0,10.0,98.9,Hit
Trigger,Action,2,Visual Novel,Josei,12,24,High,High,7.38,8.3,7,Summer,2024,1,9.9,100.0,Hit
ufotable,Romance,2,Manga,Seinen,24,24,High,Low,4.68,9.7,6,Winter,2023,1,8.55,87.9,Hit
CloverWorks,Comedy,3,Manga,Seinen,24,24,High,Low,5.38,8.3,4,Fall,2023,1,9.22,100.0,Hit
CloverWorks,Romance,1,Light Novel,Shounen,13,12,Low,Low,4.46,2.9,4,Fall,2024,1,6.38,47.3,Average
ufotable,Supernatural,3,Manga,Shounen,24,12,Low,Low,9.16,0.1,11,Summer,2022,0,10.0,100.0,Hit
Silver Link,Supernatural,3,Manga,Shounen,26,12,Medium,High,5.52,8.3,5,Fall,2024,0,9.29,88.4,Hit
Lerche,Sports,3,Light Novel,Seinen,100,12,Medium,Medium,1.59,2.8,8,Fall,2016,1,5.18,58.8,Flop
Diomedea,Drama,3,Web Novel,Shoujo,12,12,Medium,High,2.51,1.2,3,Summer,2021,1,4.4,56.1,Flop
CloverWorks,Adventure,3,Light Novel,Shounen,24,24,Medium,Medium,7.73,11.8,5,Spring,2023,0,10.0,89.1,Hit
WIT Studio,Romance,2,Manga,Shounen,26,24,Medium,Medium,9.47,6.0,8,Spring,2020,0,10.0,100.0,Hit
Sunrise,Sports,3,Web Novel,Seinen,12,24,Low,Low,5.93,7.3,7,Fall,2022,1,5.82,29.7,Flop
ufotable,Mecha,1,Original,Seinen,26,24,Low,Medium,9.35,7.3,3,Summer,2016,0,9.74,94.8,Hit
Diomedea,Drama,1,Manga,Seinen,12,24,High,High,2.91,11.5,3,Summer,2018,0,6.6,82.8,Hit
Lerche,Comedy,3,Light Novel,Shounen,24,12,Low,Low,2.75,13.4,5,Winter,2015,0,4.26,39.1,Flop
ufotable,Isekai,3,Visual Novel,Shounen,12,24,Medium,Medium,7.8,2.9,20,Winter,2016,0,9.8,98.2,Hit
Trigger,Mystery,2,Manga,Shounen,12,12,High,High,6.13,7.2,14,Fall,2017,0,9.78,96.2,Hit
J.C.Staff,Mecha,1,Manga,Shoujo,13,24,Low,Low,4.63,9.6,5,Spring,2015,0,3.84,51.3,Flop
A-1 Pictures,Drama,1,Manga,Seinen,26,24,Medium,High,6.03,6.8,8,Winter,2023,1,10.0,96.9,Hit
Doga Kobo,Adventure,1,Visual Novel,Shounen,24,24,Medium,Low,5.26,7.0,7,Winter,2018,1,8.42,75.2,Hit
J.C.Staff,Sports,1,Manga,Shoujo,12,24,Low,Medium,4.07,8.1,2,Fall,2023,0,4.53,66.4,Flop
Kyoto Animation,Mecha,3,Original,Seinen,13,24,Medium,Low,6.76,5.3,4,Spring,2024,1,6.18,68.8,Average
Silver Link,Fantasy,1,Light Novel,Seinen,13,24,Low,Medium,2.52,9.8,5,Spring,2024,0,3.35,42.4,Flop
CloverWorks,Sports,2,Original,Shounen,24,12,Low,Low,5.96,4.4,9,Spring,2018,0,6.4,55.5,Average
Doga Kobo,Isekai,1,Original,Seinen,12,12,High,Low,5.18,6.6,3,Fall,2022,0,6.82,90.5,Hit
Madhouse,Horror,3,Manga,Seinen,13,24,Medium,Medium,4.3,8.8,9,Spring,2015,0,7.07,85.0,Hit
Bones,Drama,3,Original,Josei,12,24,High,Low,4.23,14.8,8,Winter,2019,0,9.48,93.7,Hit
WIT Studio,Adventure,3,Manga,Seinen,50,12,Low,Low,3.9,6.7,8,Fall,2016,0,7.16,77.3,Hit
J.C.Staff,Sci-Fi,2,Web Novel,Shounen,13,24,High,Medium,3.24,15.0,4,Winter,2020,0,5.61,47.7,Flop
Zero-G,Comedy,1,Light Novel,Josei,24,12,Low,High,2.72,3.9,8,Winter,2020,1,4.75,22.9,Flop
Toei Animation,Horror,2,Original,Seinen,12,24,Medium,Medium,3.32,10.8,8,Summer,2016,0,8.27,81.9,Hit
CloverWorks,Isekai,1,Light Novel,Shounen,12,24,Medium,Low,5.26,8.5,9,Fall,2018,0,10.0,100.0,Hit
ufotable,Mecha,1,Original,Shounen,100,24,High,Low,3.78,10.2,16,Spring,2023,1,10.0,86.2,Hit
Bones,Romance,3,Manga,Shounen,25,24,Low,Low,3.61,14.9,7,Summer,2017,1,7.21,59.9,Average
Studio Deen,Adventure,2,Manga,Josei,26,24,Low,High,2.22,13.2,4,Fall,2024,1,8.47,88.8,Hit
WIT Studio,Fantasy,1,Manga,Shounen,12,24,High,Low,7.52,0.0,10,Summer,2016,1,10.0,100.0,Hit
Lerche,Drama,3,Light Novel,Shounen,12,24,Low,Medium,4.24,9.5,4,Spring,2024,0,4.02,43.5,Flop
